x;y_raw;y_subtract;y_fit;baseline;bkg;model_0;Peak IV;Peak II;model_3;model_4;Peak I;Peak III;model_7;model_8
201.227;149.881;0.0;3.855974260776941;149.881;0.0;0.03272715229872689;0.004215484816313282;1.194446764084012;1.8997014895225082;0.41030559450388493;0.04427026228556889;0.007402075133247123;0.0017043361956393154;0.2612011019370407
202.861;149.12132975374786;-0.9281444111527566;3.9638734114202925;150.0494741649006;0.0;0.03349502007383853;0.004244066748006353;1.2069791449723828;1.9614216606197747;0.43846186407546345;0.045068687807129526;0.0074603769492325184;0.0017167846440687873;0.2650258055303952
204.496;149.8639087493371;-0.35414268582819;4.078191889087989;150.21805143516528;0.0;0.03429072718171465;0.004272958112411812;1.2197161535320598;2.026221146739466;0.46961575252399695;0.04588940248045262;0.007519406572981865;0.0017293777193171757;0.2689369642255879
206.131;150.30617231516618;-0.0804563902637527;4.199508307116751;150.38662870542993;0.0;0.03511512809087427;0.004302145495445521;1.232654295824835;2.0942649324584317;0.5041831019710824;0.04673272453658828;0.007579139531717959;0.0017421098624237593;0.272934729345352
207.764;151.65019852685444;1.0951987618879973;4.3284002831662285;150.55499976496645;0.0;0.035968554927046856;0.004331596699611597;1.245781590554962;2.165682110389785;0.5426269310083749;0.047598416417953586;0.007639512659775118;0.0017549672944172593;0.2770166032143024
209.396;151.4911898448249;0.7679221256860042;4.465780054906126;150.7232677191389;0.0;0.03685292331938533;0.004361333044285447;1.259109826874374;2.2407432283865822;0.5855689148450034;0.04848781639329168;0.00770057235476021;0.001767959584889364;0.281187480103556
211.029;148.6251040637672;-2.266534714908241;4.612813382672448;150.89163877867543;0.0;0.03777088501961956;0.004391395152138559;1.272659767684472;2.319797089328484;0.6337925976206837;0.049402928289820784;0.0077624050673301545;0.001781104779043185;0.28545520973085553
212.662;150.87204069442691;-0.18796914378501964;4.770591611319615;151.06000983821193;0.0;0.03872357557864174;0.004421769151224106;1.2864278591542713;2.4030783753485427;0.6881563702170068;0.050344172430850945;0.007824985469154746;0.001794397123856895;0.289820106846066
214.295;150.71272204059255;-0.5156588571559115;4.940503894976137;151.22838089774845;0.0;0.0397127691269188;0.004452459370895741;1.3004187704491337;2.490891589543255;0.7497344688982353;0.051312552544704626;0.007888325663029046;0.0018078388238370322;0.2942851205561278
215.926;153.86358185977159;2.4670361132147667;5.123975231237745;151.39654574655682;0.0;0.040739071731595064;0.004483432037753558;1.314619740040734;2.5834522975044583;0.8197513802332508;0.05230788275531186;0.007952358999319906;0.0018214153830210349;0.2988476525523016
217.559;154.607762863816;3.0428460577226506;5.323452877599695;151.56491680609335;0.0;0.04180701090113854;0.004514767588813947;1.3290705126068507;2.6813500400455164;0.9000023553433526;0.05333370674849921;0.008017255106225864;0.0018351623836495073;0.30352206687564814
219.189;148.12566217212105;-3.607316377416565;5.540734779358648;151.73297854953762;0.0;0.04291541768938377;0.00454637432398334;1.3437316641627337;2.7846758341324738;0.9922483701130561;0.05438801061160848;0.008082827371304632;0.001849039916070573;0.30829724103803485
220.82;149.77199864796285;-2.1291447503831473;5.779299070233638;151.901143398346;0.0;0.044069215729289735;0.004578333823612424;1.3586439086433797;2.8941063689816815;1.099226266795097;0.05547453708835091;0.008149248317241453;0.0018630841157983272;0.3131881067391873
222.451;158.04570152731458;5.976393280160199;6.04271975356923;152.06930824715437;0.0;0.04527017562759679;0.004610631503164911;1.3738036374282852;3.010055789937415;1.22409650107181;0.05659392125320477;0.008216491304753132;0.0018772889292952614;0.3181953165137057
224.08;157.5855396142174;5.348272728982816;6.335271196675417;152.2372668852346;0.0;0.04651933779247059;0.004643231913401135;1.389197251613771;3.132891784650104;1.3707812058351043;0.05774606415822311;0.008284485955807722;0.0018916390956118577;0.32331619566092284
225.711;163.15227895337668;10.746847219333704;6.663589516169829;152.40543173404296;0.0;0.047822554729711975;0.004676219972527516;1.4048681521112032;3.263491357851618;1.544969298869427;0.058935199179341737;0.008353413119947719;0.0019061723545525369;0.32856714798149933
227.34;161.48712347482595;8.91373310270278;7.034489104951018;152.57339037212316;0.0;0.049179608316749376;0.00470951972458908;1.4207836534163758;3.402167905553306;1.7532052885588736;0.06015988466111103;0.008423117910216053;0.0019208556106583802;0.33393927119913874
228.969;163.4389128223269;10.697563812123525;7.4583017860775955;152.74134901020338;0.0;0.05059525297341068;0.004743176436892608;1.4369687128053517;3.5497764022197282;2.0049226681082453;0.06142310700922533;0.008493698762492388;0.0019357091770331254;0.33944305858521684
230.598;156.34568852961579;3.436380881332195;7.948222356999932;152.9093076482836;0.0;0.0520729106391115;0.004777195229608513;1.453429395114036;3.7070914610433223;2.3125261821578724;0.06272649856439261;0.008565170418060174;0.0019507356977374341;0.3450828081357914
232.227;164.02743342479013;10.950167138426325;8.521992096503714;153.0772662863638;0.0;0.053616256755800104;0.004811581315039416;1.4701719350319813;3.874972416443432;2.692881649282897;0.06407177893071038;0.008637547929548286;0.0019659378683419978;0.3508629929459627
233.855;162.96400442944093;9.718882610360996;9.203326918431548;153.24512181907994;0.0;0.05522823075612926;0.0048463185467861915;1.4871921982570613;4.054260652214549;3.1688629272598328;0.06545989417826313;0.008710801386920519;0.0019813089401187357;0.3567845868918883
235.482;159.78826751021307;6.375393263781061;10.025238715994139;153.412874246432;0.0;0.056912946043483716;0.004881411626722201;1.5044962275903841;4.2459960812916515;3.772425424427686;0.06689267005645133;0.008784944750465404;0.0019968513792114144;0.36285215882808436
